HELLO WORLD from process 5 of 28 on hal0001.amarel.rutgers.edu, running on CPU 5, Processor: x86_64
HELLO WORLD from process 9 of 28 on hal0001.amarel.rutgers.edu, running on CPU 9, Processor: x86_64
HELLO WORLD from process 11 of 28 on hal0001.amarel.rutgers.edu, running on CPU 11, Processor: x86_64
HELLO WORLD from process 13 of 28 on hal0001.amarel.rutgers.edu, running on CPU 13, Processor: x86_64
HELLO WORLD from process 4 of 28 on hal0001.amarel.rutgers.edu, running on CPU 4, Processor: x86_64
HELLO WORLD from process 0 of 28 on hal0001.amarel.rutgers.edu, running on CPU 0, Processor: x86_64
M is not evenly divisible by the number of processes.
HELLO WORLD from process 1 of 28 on hal0001.amarel.rutgers.edu, running on CPU 1, Processor: x86_64
HELLO WORLD from process 2 of 28 on hal0001.amarel.rutgers.edu, running on CPU 2, Processor: x86_64
HELLO WORLD from process 3 of 28 on hal0001.amarel.rutgers.edu, running on CPU 3, Processor: x86_64
HELLO WORLD from process 6 of 28 on hal0001.amarel.rutgers.edu, running on CPU 6, Processor: x86_64
HELLO WORLD from process 7 of 28 on hal0001.amarel.rutgers.edu, running on CPU 7, Processor: x86_64
HELLO WORLD from process 8 of 28 on hal0001.amarel.rutgers.edu, running on CPU 8, Processor: x86_64
HELLO WORLD from process 10 of 28 on hal0001.amarel.rutgers.edu, running on CPU 10, Processor: x86_64
HELLO WORLD from process 12 of 28 on hal0001.amarel.rutgers.edu, running on CPU 12, Processor: x86_64
HELLO WORLD from process 20 of 28 on hal0015.amarel.rutgers.edu, running on CPU 15, Processor: x86_64
HELLO WORLD from process 24 of 28 on hal0015.amarel.rutgers.edu, running on CPU 19, Processor: x86_64
HELLO WORLD from process 26 of 28 on hal0015.amarel.rutgers.edu, running on CPU 21, Processor: x86_64
HELLO WORLD from process 17 of 28 on hal0015.amarel.rutgers.edu, running on CPU 12, Processor: x86_64
HELLO WORLD from process 18 of 28 on hal0015.amarel.rutgers.edu, running on CPU 13, Processor: x86_64
HELLO WORLD from process 22 of 28 on hal0015.amarel.rutgers.edu, running on CPU 17, Processor: x86_64
HELLO WORLD from process 16 of 28 on hal0015.amarel.rutgers.edu, running on CPU 11, Processor: x86_64
HELLO WORLD from process 21 of 28 on hal0015.amarel.rutgers.edu, running on CPU 16, Processor: x86_64
HELLO WORLD from process 23 of 28 on hal0015.amarel.rutgers.edu, running on CPU 18, Processor: x86_64
HELLO WORLD from process 19 of 28 on hal0015.amarel.rutgers.edu, running on CPU 14, Processor: x86_64
HELLO WORLD from process 25 of 28 on hal0015.amarel.rutgers.edu, running on CPU 20, Processor: x86_64
HELLO WORLD from process 15 of 28 on hal0015.amarel.rutgers.edu, running on CPU 10, Processor: x86_64
HELLO WORLD from process 14 of 28 on hal0015.amarel.rutgers.edu, running on CPU 9, Processor: x86_64
HELLO WORLD from process 27 of 28 on hal0015.amarel.rutgers.edu, running on CPU 22, Processor: x86_64
